,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7898991517670516,0.7777303722792782,0.806410163982148,0.8123664400473667,0.798461501428661
Brier Score 0.25 quantile,0.062037301899766945,0.06725423421168383,0.06385787355862511,0.06258442196592992,0.055026979127443594
ROC AUC 0.25 quantile,0.8012971847238457,0.7862958569302502,0.8187595088820736,0.8252690398977632,0.8089186267883671
C-Index 0.5 quantile,0.7969905823569591,0.7644337984251448,0.7842955162318517,0.7952035225189135,0.8161172587168866
Brier Score 0.5 quantile,0.11467605989491059,0.11189969628798455,0.10114244954369535,0.1093806155959062,0.09869241164243016
ROC AUC 0.5 quantile,0.820023852739856,0.7865493247183427,0.8030146852677286,0.8148047822261748,0.8392267442804312
C-Index 0.75 quantile,0.7948245105761589,0.7681541968649495,0.7788457382122438,0.7907064931051346,0.7917191212581536
Brier Score 0.75 quantile,0.14874100551461159,0.14057974406118712,0.13797198832580562,0.14056501564742827,0.14010747607942278
ROC AUC 0.75 quantile,0.8296082045283941,0.7998865877815147,0.8090565346164331,0.8232348124848606,0.8205663365426434
Stop Reason,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP
