,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7945621636719077,0.7866146241207519,0.8112704275033468,0.8131977230456662,0.799327533524241
Brier Score 0.25 quantile,0.0624096749685226,0.06557963067738835,0.06244507316124962,0.06194052130546451,0.05518041702911513
ROC AUC 0.25 quantile,0.8068466048810133,0.7954440384950138,0.8236258230542706,0.8261445170411388,0.8099617651568207
C-Index 0.5 quantile,0.804138319082861,0.7741145876729842,0.7872644057744712,0.7956912761721796,0.8203170023522051
Brier Score 0.5 quantile,0.11424905329651348,0.10857974792536176,0.09980075183882693,0.10706879582758592,0.09867900616682616
ROC AUC 0.5 quantile,0.8291313583517639,0.7967788181721305,0.8056958655859887,0.815516753831226,0.8443575329893486
C-Index 0.75 quantile,0.8036848992693766,0.7764513421084305,0.7813977132259308,0.7925174748375077,0.7950051792865097
Brier Score 0.75 quantile,0.147598423546018,0.13595306566963958,0.13577484505144738,0.13631115525353027,0.14089767499605252
ROC AUC 0.75 quantile,0.8404412775096874,0.8091910324031685,0.8120560730842612,0.8256603913148265,0.8238270323224849
Stop Reason,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP
