,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7934857722427066,0.7691398341860864,0.6250621485556612,0.8019981681767906,0.7946686553899487
Brier Score 0.25 quantile,0.07997818459131362,0.07628682485380456,0.09302821921223434,0.09795421532820149,0.09723027747609626
ROC AUC 0.25 quantile,0.8063963649633641,0.7778357126339484,0.6277704935051841,0.8145146428616526,0.8058800890061293
C-Index 0.5 quantile,0.802242777230596,0.7549694527007133,0.5504536645497989,0.7803763637505386,0.8189088603913156
Brier Score 0.5 quantile,0.11718258683536287,0.152853842743875,0.11915161606040046,0.12157777442143416,0.09442931470117367
ROC AUC 0.5 quantile,0.8276332082144393,0.7757773030036046,0.547974530862432,0.7984964101887739,0.8440590062836385
C-Index 0.75 quantile,0.8033033388803095,0.7568773783833554,0.49573671523202223,0.7708556950552409,0.7945915563071045
Brier Score 0.75 quantile,0.20421168236875423,0.22230058434294953,0.19452618908343225,0.1899765617605264,0.1767676800954181
ROC AUC 0.75 quantile,0.8444091742299301,0.7843361826900023,0.4985197115226855,0.7997607563718755,0.8258526924943068
Integrated Brier Score,0.12117590619377111,0.16430622387648203,0.13550864773732896,0.12916354846891603,0.10151007323111352
Antolini C-Index,0.7970313538417148,0.7504847043303585,0.5015184959464096,0.7784800074620657,0.7964456358514216
