,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.786917639991026,0.789430156446661,0.7659472840773437,0.7973579726181486,0.7593068417058799
Brier Score 0.25 quantile,0.08272904253760248,0.1362873864688387,0.21081345034551088,0.37395613815307366,0.18811959684748206
ROC AUC 0.25 quantile,0.7997868250889563,0.7982566790012875,0.7776220516810893,0.8096731887371292,0.7692553425983586
C-Index 0.5 quantile,0.8002807533201901,0.7778991849734632,0.7690675900946966,0.7792082749011303,0.7767122085465176
Brier Score 0.5 quantile,0.10584082866738563,0.11386802577688045,0.12656524594746302,0.19114092828963353,0.1194058052047725
ROC AUC 0.5 quantile,0.8252496503066316,0.8012659587611002,0.7897143122972315,0.7993649398061863,0.7985649528265405
C-Index 0.75 quantile,0.802541108373225,0.7796076254116112,0.7767883650724843,0.7700799998808977,0.7604754404485312
Brier Score 0.75 quantile,0.19305399951266505,0.17412284690563654,0.15345536064766366,0.1767398484214782,0.16906533398811127
ROC AUC 0.75 quantile,0.8392595589843057,0.8173386950388843,0.8207229469084697,0.8058233419291807,0.80445365587771
Integrated Brier Score,0.09903066901289102,0.11438621641021757,0.13821039123096904,0.2747800995936495,0.12152226445505496
Antolini C-Index,0.7951085452640492,0.7739453933100808,0.7795978674478513,0.7709372707494586,0.7604949303151023
