,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6996715136101657,0.6717119319326778,0.6644834684844543,0.6121778547963578,0.6904908582610986
Brier Score 0.25 quantile,0.21686812488457785,0.23741087390372628,0.24987451580309242,0.2553871352447537,0.23899488948166528
ROC AUC 0.25 quantile,0.7194727752072576,0.6857967834566303,0.6785587290334233,0.6253631560670632,0.7015325777623357
C-Index 0.5 quantile,0.6769287498312598,0.6664954075146133,0.6536739653434332,0.6538195599745458,0.6923659995736086
Brier Score 0.5 quantile,0.1873922722697398,0.18340189118529665,0.21091125732884206,0.19370743230872794,0.1818598022534591
ROC AUC 0.5 quantile,0.6941318400128917,0.6824224763518798,0.6678094427408265,0.6932294598349422,0.7168371662809101
C-Index 0.75 quantile,0.6425557474792442,0.6530149253306335,0.6159100808647009,0.6251673330412266,0.6665160953393187
Brier Score 0.75 quantile,0.3512717263828768,0.31128452057170974,0.3621139893801916,0.3272024311315342,0.3381066851601079
ROC AUC 0.75 quantile,0.6457173182975205,0.6746697477468798,0.6166863506646613,0.6495049014158257,0.6963774046950427
Integrated Brier Score,0.17229926597691686,0.15884117164600478,0.15595468251463,0.16533192436058333,0.1392990823704946
Antolini C-Index,0.664975730086735,0.6609944611755786,0.628623328437814,0.650094800918072,0.6761336704060673
