,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.9277497606932541,0.886982871431377,0.9064270627204332,0.9007379768162752,0.9290047633075416
Brier Score 0.25 quantile,0.15690105552153355,0.1558228123555506,0.1484581282392259,0.14863275254532424,0.1481079454660527
ROC AUC 0.25 quantile,0.9420976817217612,0.9018039253738581,0.9182392052584373,0.9206113630863533,0.9384484778181845
C-Index 0.5 quantile,0.9067280202821992,0.8609525590585325,0.8645542669319021,0.8766864141939436,0.8744729494874961
Brier Score 0.5 quantile,0.08075488440467032,0.1293581564168563,0.09909082222264562,0.11788488687315243,0.12558725783671262
ROC AUC 0.5 quantile,0.9270706672878036,0.8817591404624864,0.8841106282941447,0.9033622479241741,0.9001309795160216
C-Index 0.75 quantile,0.8676879695774108,0.8071287827814055,0.8508267994763724,0.8626907550911368,0.8480485144421166
Brier Score 0.75 quantile,0.19304032956999226,0.2494911057092744,0.194539096128319,0.22094343227433266,0.23454984081091
ROC AUC 0.75 quantile,0.9039940888369044,0.8435957028308128,0.9056719893507408,0.9145772339314935,0.8874691704632435
Integrated Brier Score,0.11877066297124735,0.18469906330153457,0.1375531971787936,0.1717709026819784,0.19406161031291994
Antolini C-Index,0.8816510517942372,0.8109912536443149,0.8389845294870304,0.8544955772030007,0.8406769108866061
