,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.5419522627376385,0.5726148214831674,0.5352403678889076,0.5568917687038667,0.5587752814294543
Brier Score 0.25 quantile,0.2667206684055928,0.25952191827372556,0.26552330907686705,0.2628980748753969,0.2562379733604226
ROC AUC 0.25 quantile,0.550253150440504,0.5756091500019618,0.5371122401517049,0.5635146940053732,0.5645843301888631
C-Index 0.5 quantile,0.5660287301333602,0.5730773920305142,0.5640036532732655,0.560266405290164,0.5729572641355021
Brier Score 0.5 quantile,0.22766698078818887,0.21982009200794864,0.2200130473892846,0.2240638613170018,0.21864862392381754
ROC AUC 0.5 quantile,0.5867315927614312,0.5945005161631587,0.5864495756179473,0.5771334645852126,0.5933476501738372
C-Index 0.75 quantile,0.5914782367868291,0.5905522357822266,0.5866701152041033,0.5842061710229558,0.5966312783459278
Brier Score 0.75 quantile,0.35091640648696215,0.3528388981421836,0.3496908124686634,0.345631109656711,0.35442519725141897
ROC AUC 0.75 quantile,0.6590456220612531,0.6449266340595821,0.645921127833873,0.639645891721162,0.657293701917206
Integrated Brier Score,0.1941743267163234,0.1942876006542259,0.19193997555230208,0.19074429763087097,0.194644595873526
Antolini C-Index,0.5972404981495624,0.5981379793790343,0.594934668646493,0.5939641118890576,0.6059425357150499
