,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6096097838819572,0.5956428134660461,0.5483371788495894,0.5912792403273853,0.5413474942872336
Brier Score 0.25 quantile,0.14042095080988717,0.14508732856552994,0.14266024850099018,0.16108409725833084,0.14869141916344372
ROC AUC 0.25 quantile,0.6177985948477751,0.5992579901210671,0.5508493148234284,0.595920002966821,0.543384596065118
C-Index 0.5 quantile,0.6108683848112574,0.6170370131797195,0.5900523736411925,0.5992131603671316,0.5980537251522029
Brier Score 0.5 quantile,0.2911095952244181,0.3074191137028917,0.30357241740909363,0.24785550498102268,0.3107138387315837
ROC AUC 0.5 quantile,0.6278677994198094,0.6402612951571668,0.6102676959579114,0.6182160533526224,0.6193043950992573
C-Index 0.75 quantile,0.6205919253632486,0.6224858228284692,0.6006925346162341,0.6154080012707207,0.6299985445395977
Brier Score 0.75 quantile,0.4535950806432988,0.49333624725308645,0.49061028473813667,0.41005750910872213,0.4980220842320712
ROC AUC 0.75 quantile,0.661783581141187,0.652563679095471,0.6372680510573443,0.6483562436051427,0.6718374750681809
Integrated Brier Score,0.24111931533498368,0.26054449722107936,0.2604972824727669,0.2238639035960533,0.26376487129771997
Antolini C-Index,0.6279166421899782,0.6392199959108567,0.6171909414191155,0.6315110961499734,0.6459940046378103
