,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.5840796982300029,0.5948890851649284,0.551449165547874,0.5596265428634996,0.6063149422974663
Brier Score 0.25 quantile,0.2550275971468063,0.25426884224198065,0.25686848698522247,0.25776321079859227,0.252570820936469
ROC AUC 0.25 quantile,0.5947117207538752,0.5972699965558884,0.5551808651472325,0.5660076478053766,0.6109004934299552
C-Index 0.5 quantile,0.5835969811684288,0.58999546796171,0.5744528503771065,0.5617355188986052,0.600291414711979
Brier Score 0.5 quantile,0.22575895450017242,0.21739964819291435,0.21743189369461133,0.2225939471961574,0.2161931301594837
ROC AUC 0.5 quantile,0.5989970990468296,0.6112438252382456,0.5950819249350963,0.5794934653169959,0.6185230883958165
C-Index 0.75 quantile,0.5897689791001747,0.5948920324882003,0.5859781684067505,0.5766774922736251,0.5973493891248668
Brier Score 0.75 quantile,0.3603155708447007,0.3584304362347742,0.35582003068009327,0.3528085691347963,0.3584315193162763
ROC AUC 0.75 quantile,0.6249904689287076,0.6346299942831735,0.6312783387311869,0.6200339364359115,0.628411588716571
Integrated Brier Score,0.20676144675612423,0.20157047504165504,0.20163956040242714,0.20322723757027908,0.20341243400304038
Antolini C-Index,0.5893812782705751,0.5975435931886556,0.591105075687518,0.5825945454892905,0.601236109994164
