,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.7018282101101547,0.7461587717486325,0.6593908044931258,0.7116373590810047,0.7362524389535774
Brier Score 0.25 quantile,0.12994323659090704,0.10769987697603273,0.13111458408825896,0.11426978308902443,0.10313754698180304
ROC AUC 0.25 quantile,0.7149995182584226,0.7684769086947588,0.6712066557663225,0.7307064270111482,0.7490312764286089
C-Index 0.5 quantile,0.6832413011712578,0.6790182883308236,0.6482851049622971,0.6765474409001986,0.684906768221098
Brier Score 0.5 quantile,0.186848753115318,0.1834117178242941,0.20649714447374823,0.19327640489757533,0.1879714191851323
ROC AUC 0.5 quantile,0.7020915520426988,0.6883328139001896,0.669841684977525,0.7077549532952876,0.7034383992408142
C-Index 0.75 quantile,0.6646000045790977,0.6416777187089131,0.6180509304989352,0.657176901459583,0.6238821346177634
Brier Score 0.75 quantile,0.2343169668454124,0.2249454816630997,0.23278781825559045,0.22056917770730705,0.23074872279589573
ROC AUC 0.75 quantile,0.6969237547651611,0.67427973175159,0.6518841876997743,0.7071551304271919,0.638390443248768
Stop Reason,EARLY STOP,END OF EPOCHS,END OF EPOCHS,EARLY STOP,EARLY STOP
