,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6990452528550791,0.7405963994181035,0.6724588881412846,0.7190412319133273,0.7320753140074414
Brier Score 0.25 quantile,0.12576741826188145,0.10845612678492955,0.1291353380636306,0.11283500976757141,0.10199665820101356
ROC AUC 0.25 quantile,0.7115407407217453,0.7597479046250204,0.6846298296700906,0.737394224960955,0.7443955141296725
C-Index 0.5 quantile,0.6680819444368542,0.6769657181398536,0.6498949489131441,0.6733570195322427,0.6936270531002698
Brier Score 0.5 quantile,0.18575368725595823,0.18163687260071298,0.20797337249611936,0.19156224851535275,0.18633359866824192
ROC AUC 0.5 quantile,0.6810333315604262,0.6896071063655181,0.6704951234465877,0.708960496466573,0.7149370406217311
C-Index 0.75 quantile,0.6614941306861868,0.6419807572747989,0.6053153542992373,0.6410247565177152,0.6428572099114184
Brier Score 0.75 quantile,0.23175495267640198,0.21873743850190616,0.23632348457598967,0.22101906061520968,0.22906361666618363
ROC AUC 0.75 quantile,0.6932492613062298,0.6821734625230427,0.6380302467381439,0.6922586559719176,0.662594779929141
Stop Reason,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP
