,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.948866378892894,0.9236796517968533,0.9226426399700706,0.9246977859675415,0.9318884633833967
Brier Score 0.25 quantile,0.04143514293101074,0.04186278056701183,0.0461627473517577,0.045610485242619125,0.04112762140100217
ROC AUC 0.25 quantile,0.96275777191546,0.9362993468877334,0.9360303714996826,0.9397290218625809,0.9427839005402039
C-Index 0.5 quantile,0.9084127227474065,0.8967689766771868,0.892915105392168,0.8960738384743258,0.8839245992178411
Brier Score 0.5 quantile,0.07849502850738835,0.08252335473954703,0.08250333063550322,0.08325150568854468,0.08510703859927732
ROC AUC 0.5 quantile,0.9289119954796992,0.9176596820525114,0.9204341171641989,0.9202764993047172,0.910122753040963
C-Index 0.75 quantile,0.8832519827540432,0.8580500517541271,0.8652138815159577,0.8832368486438616,0.8598528646057226
Brier Score 0.75 quantile,0.0994184259232766,0.11359484613812675,0.09618226963963308,0.08342261089605062,0.10153243226393821
ROC AUC 0.75 quantile,0.9211961294367368,0.893052762593979,0.9130502358938067,0.933091141607477,0.9015144769872092
Stop Reason,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP
