,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.9512416586076193,0.915372734342444,0.9151086301197625,0.9162910400346663,0.9339605397957724
Brier Score 0.25 quantile,0.0400656987296289,0.04460253832607111,0.04684016645687134,0.043436575520024286,0.039721987515633383
ROC AUC 0.25 quantile,0.966717021314436,0.927781542027078,0.927542649010307,0.9310402708342405,0.9458069430471799
C-Index 0.5 quantile,0.9145601451188248,0.8880875372750893,0.8767044283674754,0.9012313769346377,0.8849497737169356
Brier Score 0.5 quantile,0.07466095424054431,0.0837573518654656,0.0830263394613588,0.07671251966021718,0.08552992816537301
ROC AUC 0.5 quantile,0.9351800386590239,0.908951191987313,0.9051332098668011,0.9261636049490335,0.9126184774348365
C-Index 0.75 quantile,0.8869794155232019,0.8518968453817655,0.8559359651971462,0.8859977718338737,0.8629838153808482
Brier Score 0.75 quantile,0.09601549123793654,0.11513368657472915,0.09908116041924019,0.08352160988396945,0.09874432392565619
ROC AUC 0.75 quantile,0.9243536075656251,0.8842123636546235,0.9056038137399339,0.9346995851792679,0.9083091161775592
Stop Reason,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP
