,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6485024341490151,0.6760581920712029,0.6355347046280664,0.6376493149282442,0.6599646455210474
Brier Score 0.25 quantile,0.13548854880978087,0.13782106675230932,0.13674577787406517,0.14892032541256042,0.14032104282939933
ROC AUC 0.25 quantile,0.6661135273781643,0.6783352297745633,0.6483326773766503,0.6435941388801899,0.6660849721457817
C-Index 0.5 quantile,0.6119286322643646,0.6312795761508961,0.6203996086773363,0.6168210685119607,0.6316522618978125
Brier Score 0.5 quantile,0.21990429577041307,0.21011027288334735,0.2120906791877766,0.2146346350652371,0.21096549704833298
ROC AUC 0.5 quantile,0.6241345489708523,0.6495095739023357,0.6391778278286884,0.6362235485010407,0.6509394892901209
C-Index 0.75 quantile,0.6030009192786582,0.612436229935556,0.6069574242784314,0.6044950037959366,0.611948744372638
Brier Score 0.75 quantile,0.23746294878174173,0.23719711291350778,0.23574842879876576,0.2361587546850647,0.23631129811884485
ROC AUC 0.75 quantile,0.6312962256957682,0.6394486438417074,0.6511386295802375,0.6368178553951943,0.6480065992998738
Stop Reason,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP
