,Fold: 0,Fold: 1,Fold: 2,Fold: 3,Fold: 4
C-Index 0.25 quantile,0.6580068994422413,0.6858927540170534,0.6371184454580575,0.6500847602790296,0.6694582059552382
Brier Score 0.25 quantile,0.13537784066491595,0.13703947650461729,0.13608588436058996,0.14794071790655908,0.13834489380160797
ROC AUC 0.25 quantile,0.6716136946581911,0.689088269530075,0.648876077856095,0.6565801618565708,0.6740136272406245
C-Index 0.5 quantile,0.6205025693348193,0.642368691667261,0.6239658439838782,0.6237296288935463,0.638606840805843
Brier Score 0.5 quantile,0.21912310037223484,0.2088444309985415,0.21034708983462702,0.21337854902516393,0.20852346678318326
ROC AUC 0.5 quantile,0.6337864345904131,0.6622892333768446,0.6416937457375537,0.6447783752443382,0.6581135641390186
C-Index 0.75 quantile,0.6131955694439115,0.6180932855375271,0.6076023455652845,0.608981809393598,0.6181030834012269
Brier Score 0.75 quantile,0.23221935923708847,0.2338789316695317,0.23468644637879058,0.23424492308196168,0.23218865321031082
ROC AUC 0.75 quantile,0.6615872410725632,0.6553198246839865,0.6487356321839081,0.6503441307124744,0.6610264786095168
Stop Reason,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP,EARLY STOP
